1.189117319695580761e+02 6.688405797101448344e-08 1.330676328502415173e-08
1.681665840766233941e+02 2.902730375426621627e-08 7.365187713310580518e-09
2.378234639391159533e+02 1.276570048309178518e-08 3.734299516908212025e-09
3.363331681532465041e+02 5.674061433447099126e-09 1.697952218430034233e-09
4.756889740155851314e+02 2.707302353651175919e-09 6.077248038624017140e-10
6.727257985241833467e+02 1.389671361502347637e-09 1.720017072129748487e-10
9.513779480311703765e+02 5.829812914906455811e-10 6.617380808690402529e-11
1.345451597048366693e+03 2.281263337601366040e-10 2.742210840802390362e-11
1.902713851318688512e+03 9.099139882299685566e-11 1.239173079824958667e-11
2.690843733850034369e+03 4.195028272698174583e-11 4.425477435186172238e-12
3.805469747613297386e+03 1.757827235005658283e-11 2.278385514900037671e-12
5.381746928275244500e+03 7.794078420912242388e-12 1.271805814883969075e-12
7.610939495226595682e+03 3.614107883817427282e-12 5.563938136552244640e-13
1.076349385655049082e+04 2.032275273406241870e-12 2.636169645238730183e-13
1.522183694565145925e+04 7.618023727343025250e-13 1.008694996133461180e-13
2.152692825277214433e+04 3.532895000066684028e-13 4.354436457235833891e-14
3.044371593613374353e+04 1.462669395222512070e-13 1.778590895802487582e-14
4.305391596591418056e+04 7.008488873773848392e-14 8.328832163029055183e-15
6.088738982745104295e+04 2.989951762803133528e-14 3.734492660684563219e-15
8.610777247147889284e+04 1.202308592538751474e-14 1.666094297536367510e-15
1.217748216997257405e+05 3.644893965649349302e-15 6.768751989249213691e-16
1.722156044033176440e+05 1.632254999208128737e-15 3.400878560294742413e-16
2.435496013546317117e+05 5.559295021035965411e-16 1.607904666813625147e-16
3.444311493462809012e+05 2.664852866279734120e-16 9.060666454945484253e-17
4.870992447540854919e+05 4.320357133805526964e-17 3.336635980146396416e-17
6.888623581529194489e+05 1.752952115566473410e-19 9.310734726998338704e-18
